"tot_ext","pers_basals","pers_night","pers_cresp","pers_day","basal_bioms","night_biom","cresp_biom","day_biom","x","light","temperature","light.effect","S","replicate","connectance"
0.716666666666667,0.5,0.6,0.923076923076923,1,7.02241731242454,1.33439996340234,0.899329782631733,1.76360528825497,0,0,15,"N",1,1,0.274166666666667
0.733333333333333,0.5,0.6,1,1,6.96780516640317,1.3530721138905,1.0038606527945,1.74530687003717,0.05,0.05,15,"N",1,1,0.274166666666667
0.733333333333333,0.5,0.6,1,1,6.91471923809699,1.34229807548794,1.09173927235767,1.73313428421247,0.1,0.1,15,"N",1,1,0.274166666666667
0.733333333333333,0.5,0.6,1,1,6.85840151993971,1.33411114194466,1.17512459753124,1.72527956405906,0.15,0.15,15,"N",1,1,0.274166666666667
0.733333333333333,0.5,0.6,1,1,6.79992055202944,1.3298266959685,1.24803568694589,1.72583374402183,0.2,0.2,15,"N",1,1,0.274166666666667
0.75,0.55,0.6,1,1,6.74048636003774,1.32915461973141,1.307122235555,1.73821824963186,0.25,0.25,15,"N",1,1,0.274166666666667
0.75,0.6,0.6,1,0.916666666666667,6.68442301080382,1.33311288621197,1.37208520680172,1.73227086105287,0.3,0.3,15,"N",1,1,0.274166666666667
0.75,0.6,0.6,1,0.916666666666667,6.62761393359979,1.33592568634595,1.39706376502533,1.78160054745338,0.35,0.35,15,"N",1,1,0.274166666666667
0.766666666666667,0.65,0.6,1,0.916666666666667,6.57599294357027,1.34035215645347,1.40550737350791,1.84925446310612,0.4,0.4,15,"N",1,1,0.274166666666667
0.733333333333333,0.65,0.6,1,0.75,6.53310656567617,1.34436725250485,1.42510103542392,1.89886172392395,0.45,0.45,15,"N",1,1,0.274166666666667
0.75,0.7,0.6,1,0.75,6.50053723647747,1.34953941981892,1.39290045222267,2.01378555373102,0.5,0.5,15,"N",1,1,0.274166666666667
0.333333333333333,0.3,0.2,0.461538461538462,0.416666666666667,6.76726057268081,0.084562617795471,0.32843410008511,0.442928621029453,0,0,20,"N",1,1,0.274166666666667
0.333333333333333,0.3,0.133333333333333,0.538461538461538,0.416666666666667,6.80061107384054,0.0251102128552949,0.384574524689519,0.449248749752171,0.05,0.05,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676267908023,0,0.406595697007113,0.454451809438422,0.1,0.1,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676269278641,0,0.406595696529983,0.454451809221428,0.15,0.15,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676270835819,0,0.406595695987909,0.454451808974899,0.2,0.2,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676272604063,0,0.406595695372361,0.454451808694956,0.25,0.25,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676274585814,0,0.406595694682489,0.454451808381214,0.3,0.3,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676276653316,0,0.406595693962767,0.454451808053898,0.35,0.35,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676278706331,0,0.406595693248089,0.454451807728878,0.4,0.4,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676280749691,0,0.406595692536773,0.45445180740539,0.45,0.45,20,"N",1,1,0.274166666666667
0.3,0.3,0,0.538461538461538,0.416666666666667,6.80676282921196,0,0.406595691780849,0.454451807061617,0.5,0.5,20,"N",1,1,0.274166666666667
0.283333333333333,0.1,0.333333333333333,0.538461538461538,0.25,5.14908437289069,0.387081323261273,0.642337950277791,0.146737553658768,0,0,15,"C",1,1,0.274166666666667
0.266666666666667,0.05,0.333333333333333,0.538461538461538,0.25,5.15435186098156,0.345867469557408,0.662188109159096,0.162756381292031,0.05,0.05,15,"C",1,1,0.274166666666667
0.266666666666667,0.05,0.333333333333333,0.538461538461538,0.25,5.15775739129554,0.31639827608673,0.666449826483605,0.187614166853409,0.1,0.1,15,"C",1,1,0.274166666666667
0.25,0.05,0.266666666666667,0.538461538461538,0.25,5.15979126068452,0.305623101836127,0.642797820002098,0.223131341253444,0.15,0.15,15,"C",1,1,0.274166666666667
0.266666666666667,0.05,0.266666666666667,0.538461538461538,0.333333333333333,5.16066632839714,0.319954739364226,0.585916937273773,0.267129149422111,0.2,0.2,15,"C",1,1,0.274166666666667
0.283333333333333,0.05,0.266666666666667,0.538461538461538,0.416666666666667,5.16191881979504,0.352058901331242,0.515929051120238,0.309045500825932,0.25,0.25,15,"C",1,1,0.274166666666667
0.283333333333333,0.05,0.266666666666667,0.538461538461538,0.416666666666667,5.16271775903353,0.388121502127014,0.449707334138134,0.345253594786133,0.3,0.3,15,"C",1,1,0.274166666666667
0.3,0.05,0.333333333333333,0.538461538461538,0.416666666666667,5.16350653348762,0.430634431297488,0.377186399575922,0.377038456420217,0.35,0.35,15,"C",1,1,0.274166666666667
0.3,0.05,0.333333333333333,0.538461538461538,0.416666666666667,5.16481680109678,0.480415667810617,0.295283103319773,0.403332652614748,0.4,0.4,15,"C",1,1,0.274166666666667
0.3,0.05,0.333333333333333,0.538461538461538,0.416666666666667,5.16643262607046,0.523130378700385,0.226165793927398,0.420643068892171,0.45,0.45,15,"C",1,1,0.274166666666667
0.283333333333333,0.05,0.333333333333333,0.538461538461538,0.333333333333333,5.1683653487222,0.557033515185083,0.171337008906183,0.430604674902949,0.5,0.5,15,"C",1,1,0.274166666666667
