"tot_ext","pers_basals","pers_night","pers_cresp","pers_day","basal_bioms","night_biom","cresp_biom","day_biom","x","light","temperature","light.effect","S","replicate","connectance"
0.933333333333333,0.8,1,1,1,9.47107595890741,1.70769933351502,0.60081629832382,1.71870341704176,0,0,15,"N",1,1,0.274166666666667
0.933333333333333,0.8,1,1,1,9.44080055843172,1.7077141765148,0.646947236432173,1.71304784165451,0.05,0.05,15,"N",1,1,0.274166666666667
0.933333333333333,0.8,1,1,1,9.40456655601579,1.70185632986408,0.70183152806931,1.70291448977038,0.1,0.1,15,"N",1,1,0.274166666666667
0.933333333333333,0.8,1,1,1,9.36200824995788,1.68895882946313,0.764399839859354,1.68924209030867,0.15,0.15,15,"N",1,1,0.274166666666667
0.95,0.85,1,1,1,9.31313466100239,1.6676854932289,0.832137190980763,1.67403132281691,0.2,0.2,15,"N",1,1,0.274166666666667
0.95,0.85,1,1,1,9.25917751847633,1.63725120742239,0.900814844545115,1.66052649639088,0.25,0.25,15,"N",1,1,0.274166666666667
0.95,0.85,1,1,1,9.20366357994484,1.59882231989854,0.964968993671288,1.65288834229815,0.3,0.3,15,"N",1,1,0.274166666666667
0.95,0.85,1,1,1,9.15245349678166,1.55649447200067,1.01960136137218,1.65523221282497,0.35,0.35,15,"N",1,1,0.274166666666667
0.95,0.85,1,1,1,9.1116980447362,1.51604346000423,1.0621201295079,1.67062375443954,0.4,0.4,15,"N",1,1,0.274166666666667
0.95,0.85,1,1,1,9.08514223874758,1.48208000878801,1.09249277509433,1.70076533678221,0.45,0.45,15,"N",1,1,0.274166666666667
0.95,0.85,1,1,1,9.07328153285966,1.45644407551956,1.11166657608621,1.74627626456694,0.5,0.5,15,"N",1,1,0.274166666666667
0.25,0.25,0.333333333333333,0.0769230769230769,0.333333333333333,11.1016852604036,0.388282507880632,0.0307710844558105,0.338644992863547,0,0,20,"N",1,1,0.274166666666667
0.216666666666667,0.25,0.333333333333333,0.0769230769230769,0.166666666666667,11.0739488048255,0.392973179812453,0.0388466044652891,0.335520897570158,0.05,0.05,20,"N",1,1,0.274166666666667
0.233333333333333,0.25,0.333333333333333,0.153846153846154,0.166666666666667,11.1213784762237,0.394305275974545,0.0520752674179324,0.314059814881759,0.1,0.1,20,"N",1,1,0.274166666666667
0.233333333333333,0.25,0.333333333333333,0.153846153846154,0.166666666666667,11.1446967128926,0.392233411827186,0.0585530045314216,0.309124366000938,0.15,0.15,20,"N",1,1,0.274166666666667
