"","tot_ext","pers_basals","pers_night","pers_cresp","pers_day","basal_bioms","night_biom","cresp_biom","day_biom","x","light","temperature","light.effect","S","fw","rep"
"45",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0,0,30,"C.N",1,1,1
"46",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.05,0.05,30,"C.N",1,1,1
"47",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.1,0.1,30,"C.N",1,1,1
"48",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.15,0.15,30,"C.N",1,1,1
"49",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.2,0.2,30,"C.N",1,1,1
"50",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.25,0.25,30,"C.N",1,1,1
"51",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.3,0.3,30,"C.N",1,1,1
"52",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.35,0.35,30,"C.N",1,1,1
"53",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.4,0.4,30,"C.N",1,1,1
"54",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.45,0.45,30,"C.N",1,1,1
"55",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.5,0.5,30,"C.N",1,1,1
"56",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0,0,35,"C.N",1,1,1
"57",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.05,0.05,35,"C.N",1,1,1
"58",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.1,0.1,35,"C.N",1,1,1
"59",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.15,0.15,35,"C.N",1,1,1
"60",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.2,0.2,35,"C.N",1,1,1
"61",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.25,0.25,35,"C.N",1,1,1
"62",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.3,0.3,35,"C.N",1,1,1
"63",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.35,0.35,35,"C.N",1,1,1
"64",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.4,0.4,35,"C.N",1,1,1
"65",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.45,0.45,35,"C.N",1,1,1
"66",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.5,0.5,35,"C.N",1,1,1
"67",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0,0,30,"N.D",1,1,1
"68",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.05,0.05,30,"N.D",1,1,1
"69",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.1,0.1,30,"N.D",1,1,1
"70",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.15,0.15,30,"N.D",1,1,1
"71",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.2,0.2,30,"N.D",1,1,1
"72",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.25,0.25,30,"N.D",1,1,1
"73",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.3,0.3,30,"N.D",1,1,1
"74",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.35,0.35,30,"N.D",1,1,1
"75",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.4,0.4,30,"N.D",1,1,1
"76",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.45,0.45,30,"N.D",1,1,1
"77",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.5,0.5,30,"N.D",1,1,1
"78",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0,0,35,"N.D",1,1,1
"79",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.05,0.05,35,"N.D",1,1,1
"80",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.1,0.1,35,"N.D",1,1,1
"81",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.15,0.15,35,"N.D",1,1,1
"82",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.2,0.2,35,"N.D",1,1,1
"83",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.25,0.25,35,"N.D",1,1,1
"84",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.3,0.3,35,"N.D",1,1,1
"85",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.35,0.35,35,"N.D",1,1,1
"86",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.4,0.4,35,"N.D",1,1,1
"87",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.45,0.45,35,"N.D",1,1,1
"88",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.5,0.5,35,"N.D",1,1,1
